22082;Sebastian Schmitz;;;;;;;;;;https://d-nb.info/1058886541;;;978-3-86628-511-8;;phd/dnb/Schmitz14;2021-07-17;;;;1-148;Hartung-Gorre;;;;;;;;A local and probabilistic model for low-cycle fatigue: new aspects of structural analysis.;;;2014
22151;Christian Prehofer;;;;;;;;;;https://d-nb.info/952799111;;;978-3-7643-4032-2;;phd/dnb/Prehofer98;2021-07-17;;;;1-186;Birkhäuser;;;;;;;;Solving higher order equations: from logic to programming.;;;1998
22662;Rainer Knauf;;;;;;;;;;https://d-nb.info/930181891;;;978-3-86111-310-2;;phd/dnb/Knauf93;2021-07-17;;;;1-244;Shaker;;;;;;;;Logische Programmierung und wissensbasierte Systeme: eine Einführung.;;;1993
22701;Waltraud Häckl;;;;;;;;;;https://d-nb.info/930279948;;;978-3-486-22186-2;;phd/dnb/Hackl93;2021-07-17;;;;1-278;Oldenbourg Verlag;;;;Sicherheit in der Informationstechnik;;;;Zugriffskontrolle bei Datenbanken.;;3;1993
22819;Asarnusch Rashid;;;;;;;;;;https://d-nb.info/1113776293|https://d-nb.info/1117632261|https://nbn-resolving.org/urn:nbn:de:0072-287480;;;978-3-86644-870-4;;phd/dnb/Rashid16;2021-07-17;;;;1-436;KIT Scientific Publishing;;;;;;;;Asynchrone Anwenderbeteiligung in Software-Projekten.;;;2016
22853;Yining Li;;;;;;;;;;https://d-nb.info/1065957440;;;978-3-937631-16-5;;phd/dnb/Li14;2021-07-17;;;;1-137;Lehrstuhl für Verkehrstechnik, Techn. Univ. München;;;;;;;;Netzweite Lichtsignalsteuerung auf Basis rekurrenter neuronaler Netze.;;;2014
22919;Gereon Schüller;;;;;;;;;;http://www.epubli.de/shop/isbn/9783750265387|https://d-nb.info/1201939798|https://d-nb.info/1202658768|https://nbn-resolving.org/urn:nbn:de:101:1-2020011022514645312952;;;978-3-7502-6538-7;;phd/dnb/Schuller19;2021-07-17;;;;1-240;epubli;;;;;;;;Probabilistic Tracking with Database Systems, Second Edition.;;;2019
23333;Christian Hartmann 0001;;;;;;;;;;http://www.dr.hut-verlag.de/978-3-8439-2403-0.html|https://d-nb.info/1080754482|https://nbn-resolving.org/urn:nbn:de:101:1-2016010112009;;;;;phd/dnb/Hartmann15;2021-07-17;;;;;Verlag Dr. Hut;;habil;Technical University Munich;;;;;Wireless Networking: Adaptive and Distributed Resource Management.;;;2015
23765;Joachim F. Schreiber;;;;;;;;;;https://d-nb.info/1195796420;;;978-3-8316-8376-5;;phd/dnb/Schreiber19a;2021-07-17;;;;1-174;Utz;;;;;;;;Ein für Hornklauselmengen lineares, allgemeines aussagenlogisches Beweisverfahren, 2. unveränderte Auflage.;;;2019
23795;Christine Schneider;;;;;;;;;;https://d-nb.info/850551595;;;978-3-87118-719-3;;phd/dnb/Schneider85a;2021-07-17;;;;1-231;Buske, Hamburg, Germany;;;University of Regensburg, Germany;;;;;"Automatische Indexierung und Syntaxanalyse: zur Entwicklung sprachanalyt. Komponenten von Informationssystemen auf empir. Grundlage ; mit zahlr. Tab.";;;1985
